eski	eski+Adj
gelindiği	gel+Verb^DB+Verb+Pass+Pos^DB+Adj+PastPart+P3sg
yumuşamıştım	yumuşa+Verb+Pos+Narr+Past+A1sg
biliyoruz	bile+Verb+Pos+Prog1+A1pl
gittiğimiz	git+Verb+Pos^DB+Adj+PastPart+P1pl
attıkları	at+Verb+Pos^DB+Adj+PastPart+P3pl
imzalandığı	imzala+Verb^DB+Verb+Pass+Pos^DB+Adj+PastPart+P3sg
benzeyecek	benze+Verb+Pos^DB+Adj+FutPart+Pnon
tartışıldığı	tartış+Verb^DB+Verb+Pass+Pos^DB+Adj+PastPart+P3sg
sanılan	san+Verb^DB+Verb+Pass+Pos^DB+Adj+PresPart
sevdikleri	sev+Verb+Pos^DB+Adj+PastPart+P3pl
bağıran	bağır+Verb+Pos^DB+Adj+PresPart
çekinen	çekin+Verb+Pos^DB+Adj+PresPart
binen	bin+Verb+Pos^DB+Adj+PresPart
geçebilecek	geç+Verb+Pos^DB+Verb+Able^DB+Adj+FutPart+Pnon
gerektirecek	gerek+Verb^DB+Verb+Caus+Pos^DB+Adj+FutPart+Pnon
yarattığım	yara+Verb^DB+Verb+Caus+Pos^DB+Adj+PastPart+P1sg
tiksiniyordu	tiksin+Verb+Pos+Prog1+Past+A3sg
ayırmadığım	ayır+Verb+Neg^DB+Adj+PastPart+P1sg
varan	var+Verb+Pos^DB+Adj+PresPart
dolanan	dola+Verb^DB+Verb+Pass+Pos^DB+Adj+PresPart
okşanan	okşa+Verb^DB+Verb+Pass+Pos^DB+Adj+PresPart
beklediğimiz	bekle+Verb+Pos^DB+Adj+PastPart+P1pl
oturulacak	otur+Verb^DB+Verb+Pass+Pos^DB+Adj+FutPart+Pnon
dolaştırdığım	dolaş+Verb^DB+Verb+Caus+Pos^DB+Adj+PastPart+P1sg
işittiği	işit+Verb+Pos^DB+Adj+PastPart+P3sg
ittiği	it+Verb+Pos^DB+Adj+PastPart+P3sg
aldıran	al+Verb^DB+Verb+Caus+Pos^DB+Adj+PresPart
düşünmediği	düşün+Verb+Neg^DB+Adj+PastPart+P3sg
izleyeceği	izle+Verb+Pos^DB+Adj+FutPart+P3sg
dökülürkenki	dök+Verb^DB+Verb+Pass+Pos+Aor^DB+Adverb+While^DB+Adj+Rel
durduran	dur+Verb^DB+Verb+Caus+Pos^DB+Adj+PresPart
baktıkları	bak+Verb+Pos^DB+Adj+PastPart+P3pl
ıslanan	ısla+Verb^DB+Verb+Pass+Pos^DB+Adj+PresPart
döndürülen	dön+Verb^DB+Verb+Caus^DB+Verb+Pass+Pos^DB+Adj+PresPart
dediğiniz	de+Verb+Pos^DB+Adj+PastPart+P2pl
dolandırılmış	dolan+Verb^DB+Verb+Caus^DB+Verb+Pass+Pos+Narr+A3sg
soluya	solu+Verb+Pos+Opt+A3sg
çatıyordu	çat+Verb+Pos+Prog1+Past+A3sg
duymayan	duy+Verb+Neg^DB+Adj+PresPart
hatırlattığımız	hatırla+Verb^DB+Verb+Caus+Pos^DB+Adj+PastPart+P1pl
acıyan	acı+Verb+Pos^DB+Adj+PresPart
adayan	ada+Verb+Pos^DB+Adj+PresPart
sallamakla	salla+Verb+Pos^DB+Noun+Inf1+A3sg+Pnon+Ins
yaşadığımız	yaşa+Verb+Pos^DB+Adj+PastPart+P1pl
haykırmak	haykır+Verb+Pos^DB+Noun+Inf1+A3sg+Pnon+Nom
dolduran	dol+Verb^DB+Verb+Caus+Pos^DB+Adj+PresPart
silinen	sil+Verb^DB+Verb+Pass+Pos^DB+Adj+PresPart
fısıldanan	fısılda+Verb^DB+Verb+Pass+Pos^DB+Adj+PresPart
öpüşür	öp+Verb^DB+Verb+Recip+Pos^DB+Adj+AorPart
kalıveren	kal+Verb+Pos^DB+Verb+Hastily^DB+Adj+PresPart
bulunabilen	bul+Verb^DB+Verb+Pass+Pos^DB+Verb+Able^DB+Adj+PresPart
öldürüldüğü	öl+Verb^DB+Verb+Caus^DB+Verb+Pass+Pos^DB+Adj+PastPart+P3sg
göstereceğimiz	göster+Verb+Pos^DB+Adj+FutPart+P1pl
kestiremeyen	kes+Verb^DB+Verb+Caus^DB+Verb+Able+Neg^DB+Adj+PresPart
koşuldukları	koş+Verb^DB+Verb+Pass+Pos^DB+Adj+PastPart+P3pl
kaybolan	kaybol+Verb+Pos^DB+Adj+PresPart
yıprandı	yıpran+Verb+Pos+Past+A3sg
açıkladığı	açıkla+Verb+Pos^DB+Adj+PastPart+P3sg
hissettiren	hisset+Verb^DB+Verb+Caus+Pos^DB+Adj+PresPart
hazırladığımız	hazırla+Verb+Pos^DB+Adj+PastPart+P1pl
eğmeleri	eğ+Verb+Pos^DB+Noun+Inf2+A3pl+P3pl+Nom
değiliz	değil+Verb+Neg+Pres+A1pl
ilgilenen	ilgilen+Verb+Pos^DB+Adj+PresPart
nişanlandığından	nişanla+Verb^DB+Verb+Pass+Pos^DB+Noun+PastPart+A3sg+P3sg+Abl
silkindi	silkin+Verb+Pos+Past+A3sg
inanmadığım	inan+Verb+Neg^DB+Adj+PastPart+P1sg
kaybeden	kaybet+Verb+Pos^DB+Adj+PresPart
sakladığı	sakla+Verb+Pos^DB+Adj+PastPart+P3sg
evlendiği	evlen+Verb+Pos^DB+Adj+PastPart+P3sg
geliştiren	geliş+Verb^DB+Verb+Caus+Pos^DB+Adj+PresPart
unutturan	unut+Verb^DB+Verb+Caus+Pos^DB+Adj+PresPart
üzen	üz+Verb+Pos^DB+Adj+PresPart
onaylatmadığı	onayla+Verb^DB+Verb+Caus+Neg^DB+Adj+PastPart+P3sg
sorduğumuz	sor+Verb+Pos^DB+Adj+PastPart+P1pl
karışan	karış+Verb+Pos^DB+Adj+PresPart
büyüleyen	büyüle+Verb+Pos^DB+Adj+PresPart
vurduğum	vur+Verb+Pos^DB+Adj+PastPart+P1sg
kılan	kıl+Verb+Pos^DB+Adj+PresPart
yitirdiği	yit+Verb^DB+Verb+Caus+Pos^DB+Adj+PastPart+P3sg
getirdikleri	getir+Verb+Pos^DB+Adj+PastPart+P3pl
ekledikleri	ekle+Verb+Pos^DB+Adj+PastPart+P3pl
kastettiği	kastet+Verb+Pos^DB+Adj+PastPart+P3sg
gülen	gül+Verb+Pos^DB+Adj+PresPart
korkan	kork+Verb+Pos^DB+Adj+PresPart
zanneden	zannet+Verb+Pos^DB+Adj+PresPart
sağlanamadığı	sağla+Verb^DB+Verb+Pass^DB+Verb+Able+Neg^DB+Adj+PastPart+P3sg
övmenize	öv+Verb+Pos^DB+Noun+Inf2+A3sg+P2pl+Dat
buluyor	bula+Verb+Pos+Prog1+A3sg
çürümeye	çürü+Verb+Pos^DB+Noun+Inf2+A3sg+Pnon+Dat
taşıdığı	taşı+Verb+Pos^DB+Adj+PastPart+P3sg
kutluyordu	kutla+Verb+Pos+Prog1+Past+A3sg
görünüşlü	görün+Verb+Pos^DB+Noun+Inf3+A3sg+Pnon+Nom^DB+Adj+With
affettireceğini	affet+Verb^DB+Verb+Caus+Pos^DB+Noun+FutPart+A3sg+P3sg+Acc
anlamayan	anla+Verb+Neg^DB+Adj+PresPart
giyindiğim	giy+Verb^DB+Verb+Reflex+Pos^DB+Adj+PastPart+P1sg
yemekli	ye+Verb+Pos^DB+Noun+Inf1+A3sg+Pnon+Nom^DB+Adj+With
oynamayan	oyna+Verb+Neg^DB+Adj+PresPart
süslemek	süsle+Verb+Pos^DB+Noun+Inf1+A3sg+Pnon+Nom
taşan	taş+Verb+Pos^DB+Adj+PresPart
topladığı	topla+Verb+Pos^DB+Adj+PastPart+P3sg
doğuran	doğ+Verb^DB+Verb+Caus+Pos^DB+Adj+PresPart
ilerleyen	ilerle+Verb+Pos^DB+Adj+PresPart
konuşabilen	konuş+Verb+Pos^DB+Verb+Able^DB+Adj+PresPart
peydahlandı	peydahla+Verb^DB+Verb+Pass+Pos+Past+A3sg
yaklaştığı	yaklaş+Verb+Pos^DB+Adj+PastPart+P3sg
titreyen	titre+Verb+Pos^DB+Adj+PresPart
ürperten	ürper+Verb^DB+Verb+Caus+Pos^DB+Adj+PresPart
kurtaran	kurtar+Verb+Pos^DB+Adj+PresPart
sarılan	sar+Verb^DB+Verb+Pass+Pos^DB+Adj+PresPart
bıraktığınız	bırak+Verb+Pos^DB+Adj+PastPart+P2pl
yudumladığını	yudumla+Verb+Pos^DB+Noun+PastPart+A3sg+P3sg+Acc
mırıldanıyordum	mırıldan+Verb+Pos+Prog1+Past+A1sg
feshedilemez	feshet+Verb^DB+Verb+Pass^DB+Verb+Able+Neg+Aor+A3sg
değiştikleri	değiş+Verb+Pos^DB+Adj+PastPart+P3pl
zorlanan	zorla+Verb^DB+Verb+Pass+Pos^DB+Adj+PresPart
yükledikleri	yükle+Verb+Pos^DB+Adj+PastPart+P3pl
yetmeyen	yet+Verb+Neg^DB+Adj+PresPart
silkti	silk+Verb+Pos+Past+A3sg
kullanmadığımız	kullan+Verb+Neg^DB+Adj+PastPart+P1pl
davrandığı	davran+Verb+Pos^DB+Adj+PastPart+P3sg
ederler	ederle+Verb+Pos+Aor+A3sg
hoşlanacağım	hoşlan+Verb+Pos^DB+Adj+FutPart+P1sg
boşver	boşver+Verb+Pos+Imp+A2sg
bayılan	bayıl+Verb+Pos^DB+Adj+PresPart
dayanmak	daya+Verb^DB+Verb+Pass+Pos^DB+Noun+Inf1+A3sg+Pnon+Nom
kapladığı	kapla+Verb+Pos^DB+Adj+PastPart+P3sg
giremediği	gir+Verb^DB+Verb+Able+Neg^DB+Adj+PastPart+P3sg
götürüldüğü	götür+Verb^DB+Verb+Pass+Pos^DB+Adj+PastPart+P3sg
karşılaştıkları	karşılaş+Verb+Pos^DB+Adj+PastPart+P3pl
oyalayan	oyala+Verb+Pos^DB+Adj+PresPart
asmalı	as+Verb+Pos^DB+Noun+Inf2+A3sg+Pnon+Nom^DB+Adj+With
paylaştırıldığı	paylaş+Verb^DB+Verb+Caus^DB+Verb+Pass+Pos^DB+Adj+PastPart+P3sg
dilediği	dile+Verb+Pos^DB+Adj+PastPart+P3sg
öğretmeyen	öğret+Verb+Neg^DB+Adj+PresPart
yaratabilmiş	yarat+Verb+Pos^DB+Verb+Able^DB+Adj+NarrPart
mahvediyordu	mahvet+Verb+Pos+Prog1+Past+A3sg
sürdürülen	sür+Verb^DB+Verb+Caus^DB+Verb+Pass+Pos^DB+Adj+PresPart
kalktığı	kalk+Verb+Pos^DB+Adj+PastPart+P3sg
başlanan	başla+Verb^DB+Verb+Pass+Pos^DB+Adj+PresPart
saldıran	sal+Verb^DB+Verb+Caus+Pos^DB+Adj+PresPart
uğradığım	uğra+Verb+Pos^DB+Adj+PastPart+P1sg
vurgulayan	vurgula+Verb+Pos^DB+Adj+PresPart
yaraşır	yaraş+Verb+Pos+Aor+A3sg
okutamayan	oku+Verb^DB+Verb+Caus^DB+Verb+Able+Neg^DB+Adj+PresPart
saçtığı	saç+Verb+Pos^DB+Adj+PastPart+P3sg
yazdıkları	yaz+Verb+Pos^DB+Adj+PastPart+P3pl
dağılacağıydı	dağıl+Verb+Pos^DB+Noun+FutPart+A3sg+P3sg+Nom^DB+Verb+Zero+Past+A3sg
kapılan	kap+Verb^DB+Verb+Pass+Pos^DB+Adj+PresPart
saydığımız	say+Verb+Pos^DB+Adj+PastPart+P1pl
çizen	çiz+Verb+Pos^DB+Adj+PresPart
kemiriyordu	kemir+Verb+Pos+Prog1+Past+A3sg
denediğim	dene+Verb+Pos^DB+Adj+PastPart+P1sg
yanıltıcı	yanıl+Verb^DB+Verb+Caus+Pos^DB+Adj+Agt
karardığı	karar+Verb+Pos^DB+Adj+PastPart+P3sg
tanıdığımız	tanı+Verb+Pos^DB+Adj+PastPart+P1pl
öğrenen	öğren+Verb+Pos^DB+Adj+PresPart
yaydığı	yay+Verb+Pos^DB+Adj+PastPart+P3sg
çakışmasıydı	çakış+Verb+Pos^DB+Noun+Inf2+A3sg+P3sg+Nom^DB+Verb+Zero+Past+A3sg
dayanan	dayan+Verb+Pos^DB+Adj+PresPart
içtiğim	iç+Verb+Pos^DB+Adj+PastPart+P1sg
bastığı	bas+Verb+Pos^DB+Adj+PastPart+P3sg
beğendikleri	beğen+Verb+Pos^DB+Adj+PastPart+P3pl
biçici	biç+Verb+Pos^DB+Noun+Agt+A3sg+Pnon+Nom
uyanan	uyan+Verb+Pos^DB+Adj+PresPart
tuttukları	tut+Verb+Pos^DB+Adj+PastPart+P3pl
güvenen	güven+Verb+Pos^DB+Adj+PresPart
dalan	dal+Verb+Pos^DB+Adj+PresPart
batıran	bat+Verb^DB+Verb+Caus+Pos^DB+Adj+PresPart
uyaran	uyar+Verb+Pos^DB+Adj+PresPart
yuvarlanan	yuvarla+Verb^DB+Verb+Pass+Pos^DB+Adj+PresPart
cıvıttı	cıvı+Verb^DB+Verb+Caus+Pos+Past+A3sg
çalışmayan	çalış+Verb+Neg^DB+Adj+PresPart
somurtuyorlardı	somur+Verb^DB+Verb+Caus+Pos+Prog1+A3pl+Past
bürünen	bürü+Verb^DB+Verb+Pass+Pos^DB+Adj+PresPart
umursanmayan	umursa+Verb^DB+Verb+Pass+Neg^DB+Adj+PresPart
bitirdiğim	bit+Verb^DB+Verb+Caus+Pos^DB+Adj+PastPart+P1sg
anlattığın	anlat+Verb+Pos^DB+Adj+PastPart+P2sg
içerecek	içer+Verb+Pos^DB+Adj+FutPart+Pnon
gizleyeceği	gizle+Verb+Pos^DB+Adj+FutPart+P3sg
bakındım	bakın+Verb+Pos+Past+A1sg
bahsettiğimiz	bahset+Verb+Pos^DB+Adj+PastPart+P1pl
giderdiği	gider+Verb+Pos^DB+Adj+PastPart+P3sg
tıkandığı	tıka+Verb^DB+Verb+Pass+Pos^DB+Adj+PastPart+P3sg
dikişsiz	dik+Verb+Pos^DB+Noun+Inf3+A3sg+Pnon+Nom^DB+Adj+Without
dinlediğimiz	dinle+Verb+Pos^DB+Adj+PastPart+P1pl
yürüten	yürü+Verb^DB+Verb+Caus+Pos^DB+Adj+PresPart
uğraştığım	uğraş+Verb+Pos^DB+Adj+PastPart+P1sg
püslenecektim	püsle+Verb^DB+Verb+Reflex+Pos+Fut+Past+A1sg
yapıştıkları	yapış+Verb+Pos^DB+Adj+PastPart+P3pl
çarptırılan	çarp+Verb^DB+Verb+Caus^DB+Verb+Pass+Pos^DB+Adj+PresPart
atadığı	ata+Verb+Pos^DB+Adj+PastPart+P3sg
eğlenen	eğlen+Verb+Pos^DB+Adj+PresPart
kopan	kop+Verb+Pos^DB+Adj+PresPart
gevşemiş	gevşe+Verb+Pos+Narr+A3sg
sustu	sus+Verb+Pos+Past+A3sg
seziş	sez+Verb+Pos^DB+Noun+Inf3+A3sg+Pnon+Nom
kaldıracak	kaldır+Verb+Pos^DB+Adj+FutPart+Pnon
yormaya	yor+Verb+Pos^DB+Noun+Inf2+A3sg+Pnon+Dat
süzülen	süz+Verb^DB+Verb+Pass+Pos^DB+Adj+PresPart
yıkanabilen	yıka+Verb^DB+Verb+Pass+Pos^DB+Verb+Able^DB+Adj+PresPart
eriyen	eri+Verb+Pos^DB+Adj+PresPart
çaldığın	çal+Verb+Pos^DB+Adj+PastPart+P2sg
geçinen	geçin+Verb+Pos^DB+Adj+PresPart
tanıştığı	tanış+Verb+Pos^DB+Adj+PastPart+P3sg
işlenen	işle+Verb^DB+Verb+Pass+Pos^DB+Adj+PresPart
coşmuştu	coş+Verb+Pos+Narr+Past+A3sg
diriltin	diril+Verb^DB+Verb+Caus+Pos+Imp+A2pl
seslenen	seslen+Verb+Pos^DB+Adj+PresPart
geveliyordu	gevele+Verb+Pos+Prog1+Past+A3sg
reddeden	reddet+Verb+Pos^DB+Adj+PresPart
kazanmadığı	kazan+Verb+Neg^DB+Adj+PastPart+P3sg
ihtiyarlar	ihtiyarla+Verb+Pos+Aor+A3sg
gezdikleri	gez+Verb+Pos^DB+Adj+PastPart+P3pl
tekrarladığı	tekrarla+Verb+Pos^DB+Adj+PastPart+P3sg
yalvaran	yalvar+Verb+Pos^DB+Adj+PresPart
çöktüğü	çök+Verb+Pos^DB+Adj+PastPart+P3sg
anlaşılmayan	anlaş+Verb^DB+Verb+Pass+Neg^DB+Adj+PresPart
körükleyin	körükle+Verb+Pos+Imp+A2pl
kucaklamasından	kucakla+Verb+Pos^DB+Noun+Inf2+A3sg+P3sg+Abl
seyreden	seyret+Verb+Pos^DB+Adj+PresPart
çevirdiği	çevir+Verb+Pos^DB+Adj+PastPart+P3sg
uzayan	uza+Verb+Pos^DB+Adj+PresPart
kekeledi	kekele+Verb+Pos+Past+A3sg
korumayan	koru+Verb+Neg^DB+Adj+PresPart
parlayan	parla+Verb+Pos^DB+Adj+PresPart
serdiğim	ser+Verb+Pos^DB+Adj+PastPart+P1sg
kalkışan	kalkış+Verb+Pos^DB+Adj+PresPart
sokamadıkları	sok+Verb^DB+Verb+Able+Neg^DB+Adj+PastPart+P3pl
kapanan	kapa+Verb^DB+Verb+Pass+Pos^DB+Adj+PresPart
tüketecek	tüket+Verb+Pos+Fut+A3sg
yatırırlar	yatır+Verb+Pos+Aor+A3pl
kapaklanıyordu	kapaklan+Verb+Pos+Prog1+Past+A3sg
sıkan	sık+Verb+Pos^DB+Adj+PresPart
kenetlenmiş	kenetle+Verb^DB+Verb+Pass+Pos+Narr+A3sg
yaşarmıştı	yaşar+Verb+Pos+Narr+Past+A3sg
açıldığı	aç+Verb^DB+Verb+Pass+Pos^DB+Adj+PastPart+P3sg
ezilen	ez+Verb^DB+Verb+Pass+Pos^DB+Adj+PresPart
suçladığı	suçla+Verb+Pos^DB+Adj+PastPart+P3sg
buruşturmuştu	buruş+Verb^DB+Verb+Caus+Pos+Narr+Past+A3sg
köpürdü	köpür+Verb+Pos+Past+A3sg
sarsılan	sars+Verb^DB+Verb+Pass+Pos^DB+Adj+PresPart
kavrar	kavra+Verb+Pos^DB+Adj+AorPart
vuruldunuz	vurul+Verb+Pos+Past+A2pl
şaşılacak	şaş+Verb^DB+Verb+Pass+Pos^DB+Adj+FutPart+Pnon
iliştirilen	iliş+Verb^DB+Verb+Caus^DB+Verb+Pass+Pos^DB+Adj+PresPart
fırlatan	fırla+Verb^DB+Verb+Caus+Pos^DB+Adj+PresPart
kınayın	kına+Verb+Pos+Imp+A2pl
inceleyen	incele+Verb+Pos^DB+Adj+PresPart
çatırdatacak	çatırda+Verb^DB+Verb+Caus+Pos+Fut+A3sg
küçümseyen	küçümse+Verb+Pos^DB+Adj+PresPart
büksün	bük+Verb+Pos+Imp+A3sg
kötülemek	kötüle+Verb+Pos^DB+Noun+Inf1+A3sg+Pnon+Nom
başvurduğu	başvur+Verb+Pos^DB+Adj+PastPart+P3sg
ağladığı	ağla+Verb+Pos^DB+Adj+PastPart+P3sg
kazıyorsunuz	kaz+Verb+Pos+Prog1+A2pl
konduğu	kon+Verb+Pos^DB+Adj+PastPart+P3sg
homurdanır	homurda+Verb^DB+Verb+Pass+Pos+Aor+A3sg
hesaplayan	hesapla+Verb+Pos^DB+Adj+PresPart
girişilen	giriş+Verb^DB+Verb+Pass+Pos^DB+Adj+PresPart
şakıyorsunuz	şakı+Verb+Pos+Prog1+A2pl
şaşırtır	şaşır+Verb^DB+Verb+Caus+Pos^DB+Adj+AorPart
gücenebileceğim	gücen+Verb+Pos^DB+Verb+Able+Fut+A1sg
karşılayamadığınız	karşıla+Verb^DB+Verb+Able+Neg^DB+Adj+PastPart+P2pl
bağışlandığı	bağışla+Verb^DB+Verb+Pass+Pos^DB+Adj+PastPart+P3sg
yaslayan	yasla+Verb+Pos^DB+Adj+PresPart
kıpırdamadan	kıpırda+Verb+Pos^DB+Noun+Inf2+A3sg+Pnon+Abl
kollayan	kolla+Verb+Pos^DB+Adj+PresPart
ulaşabildiğim	ulaş+Verb+Pos^DB+Verb+Able^DB+Adj+PastPart+P1sg
inleten	inle+Verb^DB+Verb+Caus+Pos^DB+Adj+PresPart
kavuşan	kavuş+Verb+Pos^DB+Adj+PresPart
savmıştı	sav+Verb+Pos+Narr+Past+A3sg
kaçtığım	kaç+Verb+Pos^DB+Adj+PastPart+P1sg
bulandıran	bulan+Verb^DB+Verb+Caus+Pos^DB+Adj+PresPart
tartmaya	tart+Verb+Pos^DB+Noun+Inf2+A3sg+Pnon+Dat
mahvolan	mahvol+Verb+Pos^DB+Adj+PresPart
vazgeçemeyen	vazgeç+Verb^DB+Verb+Able+Neg^DB+Adj+PresPart
ısmarlamıştı	ısmarla+Verb+Pos+Narr+Past+A3sg
yığılıverdi	yığ+Verb^DB+Verb+Pass+Pos^DB+Verb+Hastily+Past+A3sg
hıçkıra	hıçkır+Verb+Pos+Opt+A3sg
bozulan	boz+Verb^DB+Verb+Pass+Pos^DB+Adj+PresPart
kıyılan	kıy+Verb^DB+Verb+Pass+Pos^DB+Adj+PresPart
sıkıştırılmamış	sıkış+Verb^DB+Verb+Caus^DB+Verb+Pass+Neg^DB+Adj+NarrPart
kurulandı	kurula+Verb^DB+Verb+Pass+Pos+Past+A3sg
emredersiniz	emret+Verb+Pos+Aor+A2pl
kıvırtması	kıvır+Verb^DB+Verb+Caus+Pos^DB+Noun+Inf2+A3sg+P3sg+Nom
yakışan	yakış+Verb+Pos^DB+Adj+PresPart
kokan	kok+Verb+Pos^DB+Adj+PresPart
estiği	es+Verb+Pos^DB+Adj+PastPart+P3sg
yükselten	yüksel+Verb^DB+Verb+Caus+Pos^DB+Adj+PresPart
sersemlemiş	sersemle+Verb+Pos+Narr+A3sg
bağlayan	bağla+Verb+Pos^DB+Adj+PresPart
dokunmadığı	dokun+Verb+Neg^DB+Adj+PastPart+P3sg
yakalayan	yakala+Verb+Pos^DB+Adj+PresPart
alıştığımız	alış+Verb+Pos^DB+Adj+PastPart+P1pl
yatan	yat+Verb+Pos^DB+Adj+PresPart
takmalı	tak+Verb+Pos^DB+Noun+Inf2+A3sg+Pnon+Nom^DB+Adj+With
oluştukları	oluş+Verb+Pos^DB+Adj+PastPart+P3pl
doyurucu	doy+Verb^DB+Verb+Caus+Pos^DB+Adj+Agt
harcattığı	harca+Verb^DB+Verb+Caus+Pos^DB+Adj+PastPart+P3sg
abandığı	aban+Verb+Pos^DB+Adj+PastPart+P3sg
kudurmuş	kudur+Verb+Pos^DB+Adj+NarrPart
kovalayan	kovala+Verb+Pos^DB+Adj+PresPart
gerdiği	ger+Verb+Pos^DB+Adj+PastPart+P3sg
takırdadı	takırda+Verb+Pos+Past+A3sg
yetişen	yetiş+Verb+Pos^DB+Adj+PresPart
dürülmüş	dür+Verb^DB+Verb+Pass+Pos+Narr+A3sg
incinen	incin+Verb+Pos^DB+Adj+PresPart
dokumalı	doku+Verb+Pos^DB+Noun+Inf2+A3sg+Pnon+Nom^DB+Adj+With
yatıştırana	yatış+Verb^DB+Verb+Caus+Pos^DB+Adj+PresPart^DB+Noun+Zero+A3sg+Pnon+Dat
yöneltilen	yönel+Verb^DB+Verb+Caus^DB+Verb+Pass+Pos^DB+Adj+PresPart
kabartıyordu	kabar+Verb^DB+Verb+Caus+Pos+Prog1+Past+A3sg
parçaladığı	parçala+Verb+Pos^DB+Adj+PastPart+P3sg
kaynaklanacak	kaynakla+Verb^DB+Verb+Pass+Pos^DB+Adj+FutPart+Pnon
yetinen	yetin+Verb+Pos^DB+Adj+PresPart
yumacak	yum+Verb+Pos^DB+Adj+FutPart+Pnon
yerleştikleri	yerleş+Verb+Pos^DB+Adj+PastPart+P3pl
dürttü	dürt+Verb+Pos+Past+A3sg
kışkırtıyordu	kışkırt+Verb+Pos+Prog1+Past+A3sg
savuşuyordu	savuş+Verb+Pos+Prog1+Past+A3sg
edinmeyen	edin+Verb+Neg^DB+Adj+PresPart
engellendiği	engelle+Verb^DB+Verb+Pass+Pos^DB+Adj+PastPart+P3sg
beslenen	besle+Verb^DB+Verb+Pass+Pos^DB+Adj+PresPart
sırnaşmıyordu	sırnaş+Verb+Neg+Prog1+Past+A3sg
katlandığınız	katla+Verb^DB+Verb+Pass+Pos^DB+Adj+PastPart+P2pl
esirgeyen	esirge+Verb+Pos^DB+Adj+PresPart
sataşmamayı	sataş+Verb+Neg^DB+Noun+Inf2+A3sg+Pnon+Acc
ören	ör+Verb+Pos^DB+Adj+PresPart
çiğnenen	çiğne+Verb^DB+Verb+Pass+Pos^DB+Adj+PresPart
perçinleniyordu	perçinle+Verb^DB+Verb+Pass+Pos+Prog1+Past+A3sg
yaralandığı	yarala+Verb^DB+Verb+Pass+Pos^DB+Adj+PastPart+P3sg
düzenleyen	düzenle+Verb+Pos^DB+Adj+PresPart
gezinen	gezin+Verb+Pos^DB+Adj+PresPart
atlayan	atla+Verb+Pos^DB+Adj+PresPart
tamamlayan	tamamla+Verb+Pos^DB+Adj+PresPart
yağladım	yağla+Verb+Pos+Past+A1sg
gözetlemiş	gözetle+Verb+Pos+Narr+A3sg
tırmandığı	tırman+Verb+Pos^DB+Adj+PastPart+P3sg
beceremiyordu	becer+Verb^DB+Verb+Able+Neg+Prog1+Past+A3sg
ısırmaktaydı	ısır+Verb+Pos^DB+Noun+Inf1+A3sg+Pnon+Loc^DB+Verb+Zero+Past+A3sg
azarlayan	azarla+Verb+Pos^DB+Adj+PresPart
pataklıyordu	patakla+Verb+Pos+Prog1+Past+A3sg
dilenciler	dil+Verb+Pos^DB+Adj+PresPart^DB+Noun+Agt+A3pl+Pnon+Nom
ürktüğünüz	ürk+Verb+Pos^DB+Adj+PastPart+P2pl
rastladığınız	rastla+Verb+Pos^DB+Adj+PastPart+P2pl
kazımışımdır	kazı+Verb+Pos+Narr+A1sg+Cop
onaracağım	onar+Verb+Pos+Fut+A1sg
böbürlenir	böbürlen+Verb+Pos+Aor+A3sg
boyamalı	boya+Verb+Pos^DB+Noun+Inf2+A3sg+Pnon+Nom^DB+Adj+With
oynatan	oynat+Verb+Pos^DB+Adj+PresPart
taşınan	taşın+Verb+Pos^DB+Adj+PresPart
bur	bur+Verb+Pos+Imp+A2sg
kahroluyorum	kahrol+Verb+Pos+Prog1+A1sg
hafiflemiştim	hafifle+Verb+Pos+Narr+Past+A1sg
selamlayacaklarmış	selamla+Verb+Pos^DB+Noun+FutPart+A3pl+Pnon+Nom^DB+Verb+Zero+Narr+A3sg
tütmekte	tüt+Verb+Pos^DB+Noun+Inf1+A3sg+Pnon+Loc
boğucu	boğ+Verb+Pos^DB+Noun+Agt+A3sg+Pnon+Nom
alçaltmıştı	alçal+Verb^DB+Verb+Caus+Pos+Narr+Past+A3sg
dönüştüğü	dönüş+Verb+Pos^DB+Adj+PastPart+P3sg
burkuldu	burk+Verb^DB+Verb+Pass+Pos+Past+A3sg
gömüldükleri	göm+Verb^DB+Verb+Pass+Pos^DB+Adj+PastPart+P3pl
çekiştirilirdi	çekiş+Verb^DB+Verb+Caus^DB+Verb+Pass+Pos+Aor+Past+A3sg
doğrulmak	doğrul+Verb+Pos^DB+Noun+Inf1+A3sg+Pnon+Nom
sürünen	sürü+Verb^DB+Verb+Pass+Pos^DB+Adj+PresPart
gözüken	gözük+Verb+Pos^DB+Adj+PresPart
şükretsin	şükret+Verb+Pos+Imp+A3sg
yeltenmemesi	yelten+Verb+Neg^DB+Noun+Inf2+A3sg+P3sg+Nom
yeğledi	yeğle+Verb+Pos+Past+A3sg
boşanan	boşa+Verb^DB+Verb+Pass+Pos^DB+Adj+PresPart
artıracak	art+Verb^DB+Verb+Caus+Pos^DB+Adj+FutPart+Pnon
kovulmuş	kov+Verb^DB+Verb+Pass+Pos^DB+Adj+NarrPart
darılmadığımı	darıl+Verb+Neg^DB+Noun+PastPart+A3sg+P1sg+Acc
başaran	başar+Verb+Pos^DB+Adj+PresPart
yakan	yak+Verb+Pos^DB+Adj+PresPart
sağol	sağol+Verb+Pos+Imp+A2sg
